sweep_root,metrics_path,experiment_name,seed,target_env,source_envs,contrastive_loss_type,lambda_supcon,lambda_supcon_warmup_epochs,lambda_supcon_target,lambda_supcon_effective,temperature,batch_size,sampler_mode,include_same_domain_same_class,supcon_positive_mode,lambda_pair_margin,effective_pair_margin_weight,prototype_num_subcenters,selection_metric,best_val_score,best_val_accuracy,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,loss_supcon_weighted,loss_supcon_to_ce,supcon_mean_positives_per_anchor,supcon_frac_anchors_with_positive
outputs_supcon_lambda_sweep,outputs_supcon_lambda_sweep\dg_loeo\pa_csi_dg_supcon_lam0050_tau020\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0050_tau020,42,E2,"[""E1"", ""E3""]",pairwise_supcon,0.05,0,0.05,0.05,0.2,16,domain_class_balanced,True,all_views,0.0,0.0,0,accuracy,0.9983333333333333,0.9983333333333333,0.8936666666666667,0.8720884415009934,0.8791582984193265,0.8672222222222223,0.2081243010277444,0.2321827097921072,51.266666666666666,1.0
outputs_supcon_lambda_sweep,outputs_supcon_lambda_sweep\dg_loeo\pa_csi_dg_supcon_lam0100_tau020\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0100_tau020,42,E2,"[""E1"", ""E3""]",pairwise_supcon,0.1,0,0.1,0.1,0.2,16,domain_class_balanced,True,all_views,0.0,0.0,0,accuracy,0.9983333333333333,0.9983333333333333,0.8443333333333334,0.8222763277692539,0.8316475042042719,0.8172222222222222,0.41812960683031286,0.37791880246986753,51.266666666666666,1.0
outputs_supcon_lambda_sweep,outputs_supcon_lambda_sweep\dg_loeo\pa_csi_dg_supcon_lam0200_tau020\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0200_tau020,42,E2,"[""E1"", ""E3""]",pairwise_supcon,0.2,0,0.2,0.2,0.2,16,domain_class_balanced,True,all_views,0.0,0.0,0,accuracy,0.9991666666666666,0.9991666666666666,0.8706666666666667,0.8402880265580913,0.8456000257403571,0.8393055555555556,0.8383976091729833,0.7566689003118657,51.266666666666666,1.0
outputs_supcon_lambda_sweep,outputs_supcon_lambda_sweep\dg_loeo\pa_csi_dg_supcon_lam0400_tau020\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0400_tau020,42,E2,"[""E1"", ""E3""]",pairwise_supcon,0.4,0,0.4,0.4,0.2,16,domain_class_balanced,True,all_views,0.0,0.0,0,accuracy,0.9983333333333333,0.9983333333333333,0.9206666666666666,0.9021333012189604,0.9061390347677271,0.9015277777777778,1.6602474796011095,3.013029079128183,51.266666666666666,1.0
outputs_supcon_positive_mask_sweep,outputs_supcon_positive_mask_sweep\dg_loeo\pa_csi_dg_supcon_lam0050_tau020_bs32_domain_class_balanced_incSame0_all_views\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0050_tau020_bs32_domain_class_balanced_incSame0_all_views,42,E2,"[""E1"", ""E3""]",pairwise_supcon,0.05,0,0.05,0.05,0.2,32,domain_class_balanced,False,all_views,0.0,0.0,0,accuracy,0.9975,0.9975,0.8543333333333333,0.8431537692003083,0.8466199603541238,0.8455555555555555,0.22605992403436215,0.31134818823128557,3.0,1.0
outputs_supcon_positive_mask_sweep,outputs_supcon_positive_mask_sweep\dg_loeo\pa_csi_dg_supcon_lam0050_tau020_bs32_domain_class_balanced_incSame0_global_class_instance_views\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0050_tau020_bs32_domain_class_balanced_incSame0_global_class_instance_views,42,E2,"[""E1"", ""E3""]",pairwise_supcon,0.05,0,0.05,0.05,0.2,32,domain_class_balanced,False,global_class_instance_views,0.0,0.0,0,accuracy,0.9991666666666666,0.9991666666666666,0.849,0.8304996678052065,0.8503861519843868,0.8277777777777778,0.21025138548079958,0.19725777784058152,3.0,1.0
outputs_supcon_positive_mask_sweep,outputs_supcon_positive_mask_sweep\dg_loeo\pa_csi_dg_supcon_lam0050_tau020_bs32_domain_class_balanced_incSame1_all_views\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0050_tau020_bs32_domain_class_balanced_incSame1_all_views,42,E2,"[""E1"", ""E3""]",pairwise_supcon,0.05,0,0.05,0.05,0.2,32,domain_class_balanced,True,all_views,0.0,0.0,0,accuracy,0.9975,0.9975,0.865,0.8391230758845011,0.8490182255098214,0.8320833333333333,0.23320226846857275,0.23195042839634897,79.85333333333334,1.0
outputs_supcon_positive_mask_sweep,outputs_supcon_positive_mask_sweep\dg_loeo\pa_csi_dg_supcon_lam0050_tau020_bs32_domain_class_balanced_incSame1_global_class_instance_views\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0050_tau020_bs32_domain_class_balanced_incSame1_global_class_instance_views,42,E2,"[""E1"", ""E3""]",pairwise_supcon,0.05,0,0.05,0.05,0.2,32,domain_class_balanced,True,global_class_instance_views,0.0,0.0,0,accuracy,0.9991666666666666,0.9991666666666666,0.8773333333333333,0.8527228971327069,0.8625480989724593,0.8472222222222222,0.2034392833709717,0.2441453101193591,7.803333333333334,1.0
outputs_supcon_temperature_sweep,outputs_supcon_temperature_sweep\dg_loeo\pa_csi_dg_supcon_lam0050_tau007_bs32_domain_class_balanced\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0050_tau007_bs32_domain_class_balanced,42,E2,"[""E1"", ""E3""]",pairwise_supcon,0.05,0,0.05,0.05,0.07,32,domain_class_balanced,True,all_views,0.0,0.0,0,accuracy,0.9983333333333333,0.9983333333333333,0.869,0.8517072180316042,0.8540236219050045,0.8505555555555556,0.23562930289735187,0.29608414563604535,79.85333333333334,1.0
outputs_supcon_temperature_sweep,outputs_supcon_temperature_sweep\dg_loeo\pa_csi_dg_supcon_lam0050_tau010_bs32_domain_class_balanced\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0050_tau010_bs32_domain_class_balanced,42,E2,"[""E1"", ""E3""]",pairwise_supcon,0.05,0,0.05,0.05,0.1,32,domain_class_balanced,True,all_views,0.0,0.0,0,accuracy,0.9983333333333333,0.9983333333333333,0.8626666666666667,0.8406434528970448,0.8463217084171827,0.8365277777777779,0.23616735364528416,0.23259316856049556,79.85333333333334,1.0
